CMD;Liste;Libellé liste;Code;Libellé code
01;A-002;Craniotomies;LAMA006-00/0;Remodelage du pôle postérieur du crâne  par abord direct
01;A-002;Craniotomies;LAMA009-00/0;Cranioplastie de la voûte
01;A-002;Craniotomies;LAMA011-00/0;Réparation d une fente craniofaciale impliquant l orbite sans abord de l étage antérieur de la base du crâne
01;A-002;Craniotomies;LAPA005-00/0;Taille et transposition de volet crânien n intéressant pas les orbites  sans remodelage du pôle postérieur du crâne
01;A-002;Craniotomies;LAPA006-00/0;Taille et transposition de volet crânien intéressant les orbites
01;A-002;Craniotomies;LAPA008-00/0;Taille de volet crânien sans transposition
01;A-002;Craniotomies;LAPA016-00/0;Taille et transposition de volet crânien n intéressant pas les orbites  avec remodelage du pôle postérieur du crâne
01;A-002;Craniotomies;LARA003-00/0;Mobilisation totale des cadres de l orbite horizontalement ou par bipartition faciale  par craniotomie
01;A-002;Craniotomies;LARA004-00/0;Mobilisation totale d un cadre de l orbite  par craniotomie
01;A-003;Interventions sur le rachis;AEFA001-00/0;Exérèse de lésion de la moelle épinière sur un étage vertébral  par abord postérieur
01;A-003;Interventions sur le rachis;AEFA002-00/0;Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux  par abord postérieur
01;A-003;Interventions sur le rachis;AEFA003-00/0;Exérèse de lésion du cône médullaire  par abord postérieur
01;A-003;Interventions sur le rachis;AEGA001-00/0;Ablation d électrode de stimulation de la moelle épinière  par abord direct
01;A-003;Interventions sur le rachis;AEJA001-00/0;Parage et fermeture de plaie pénétrante vertébrospinale  par abord antérieur ou antérolatéral
01;A-003;Interventions sur le rachis;AEJA002-00/0;Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale  par abord antérieur ou antérolatéral
01;A-003;Interventions sur le rachis;AEJA003-00/0;Évacuation d hématome intraspinal [hématomyélie]
01;A-003;Interventions sur le rachis;AEJA004-00/0;Parage et fermeture de plaie pénétrante vertébrospinale  par abord postérieur
01;A-003;Interventions sur le rachis;AEJA005-00/0;Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale  par abord postérieur
01;A-003;Interventions sur le rachis;AENA001-00/0;Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale  par abord postérieur
01;A-003;Interventions sur le rachis;AEPA001-00/0;Libération de moelle attachée  par abord postérieur
01;A-003;Interventions sur le rachis;AEPA002-00/0;Myélotomie  commissurotomie ou cordotomie spinale  par abord postérieur
01;A-003;Interventions sur le rachis;AEPA004-00/0;Libération d une diastématomyélie  par abord postérieur
01;A-003;Interventions sur le rachis;AEPB001-00/0;Cordotomie spinale  par voie transcutanée
01;A-003;Interventions sur le rachis;AFCA001-00/0;Dérivation d une cavité liquidienne intraspinale [syringomyélique] ou périspinale dans l espace subarachnoïdien rachidien  par abord direct
01;A-003;Interventions sur le rachis;AFCA002-00/0;Dérivation lombopéritonéale du liquide cérébrospinal subarachnoïdien rachidien  par abord direct
01;A-003;Interventions sur le rachis;AFCA003-00/0;Dérivation d une cavité liquidienne intraspinale [syringomyélique] ou périspinale en dehors de l espace subarachnoïdien rachidien  par abord direct
01;A-003;Interventions sur le rachis;AFCA004-00/0;Dérivation externe du liquide cérébrospinal subarachnoïdien rachidien
01;A-003;Interventions sur le rachis;AFFA001-00/0;Exérèse de tumeur intradurale extraspinale sans reconstruction vertébrale  par abord antérieur ou antérolatéral
01;A-003;Interventions sur le rachis;AFFA002-00/0;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale  par abord postérieur ou postérolatéral
01;A-003;Interventions sur le rachis;AFFA003-00/0;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale  par abord postérieur ou postérolatéral
01;A-003;Interventions sur le rachis;AFFA004-00/0;Exérèse de kyste méningé intracanalaire vertébral  par abord postérieur
01;A-003;Interventions sur le rachis;AFFA005-00/0;Exérèse de tumeur épidurale rachidienne avec ostéosynthèse vertébrale  par abord postérieur
01;A-003;Interventions sur le rachis;AFFA006-00/0;Exérèse d une fistule dermique avec prolongement intradural rachidien
01;A-003;Interventions sur le rachis;AFFA007-00/0;Exérèse de tumeur intradurale extraspinale  par abord postérieur ou postérolatéral
01;A-003;Interventions sur le rachis;AFFA008-00/0;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale  par abord antérieur ou antérolatéral
